dt,sensor,lux,con,spl
2016-07-06 08:00:00,sensor_0,39952.375,2857.81375,81.5132722792
2016-07-06 08:00:00,sensor_2,8607.125,2693.19125,75.4485663558
2016-07-06 08:00:00,sensor_3,1345.125,2146.25625,81.1783295926
2016-07-06 08:00:00,sensor_4,4777.25,2555.0975,72.1280280594
2016-07-06 12:00:00,sensor_0,2892.625,2734.44,79.7448342236
2016-07-06 12:00:00,sensor_2,5828.375,2208.92875,77.3900251189
2016-07-06 12:00:00,sensor_3,4941.25,1903.5325,82.2065895055
2016-07-06 12:00:00,sensor_4,28119.75,13388.5,73.3869880605
2016-07-06 16:00:00,sensor_0,0.0,2680.4325,70.74545405
2016-07-06 16:00:00,sensor_2,1943.125,1779.05,78.8715834755
2016-07-06 16:00:00,sensor_3,2954.875,1922.28375,80.6366302313
2016-07-06 16:00:00,sensor_4,8710.875,6720.19875,77.2018085034
2016-07-06 20:00:00,sensor_0,93.5,2240.76,66.0411998266
2016-07-06 20:00:00,sensor_2,68.0,1434.225,72.0549793584
2016-07-06 20:00:00,sensor_3,57.0,1548.41875,80.1120483922
